identA,identB,comparison_reason
GCF_002950945.1,GCF_004296535.1,size-diff
GCF_002950945.1,GCA_015134315.1,size-diff
GCF_002950945.1,GCA_015134375.1,size-diff
GCF_002950945.1,GCA_002254805.1,size-diff
GCF_002950945.1,GCA_002688505.1,size-diff
GCF_002950945.1,GCA_015134075.1,size-diff
GCA_018676675.1,GCF_002682985.1,size-diff
GCA_018676675.1,GCA_000147015.1,size-diff
GCA_018676675.1,GCF_004296495.1,size-diff
GCA_018676675.1,GCF_017656055.1,size-diff
GCA_018676675.1,GCA_015134435.1,size-diff
GCA_018676675.1,GCA_000331975.1,size-diff
GCA_018676675.1,GCF_004296515.1,size-diff
GCA_018676675.1,GCF_003213775.1,size-diff
GCA_018676675.1,GCF_004296475.1,size-diff
GCA_018676675.1,GCF_004296535.1,size-diff
GCA_018676675.1,GCA_015134315.1,size-diff
GCA_018676675.1,GCA_015134375.1,size-diff
GCA_018676675.1,GCA_002254805.1,size-diff
GCA_018676675.1,GCA_002688505.1,size-diff
GCA_018676675.1,GCA_015134075.1,size-diff
GCF_016863635.1,GCF_002682985.1,size-diff
GCF_016863635.1,GCA_000147015.1,size-diff
GCF_016863635.1,GCF_004296495.1,size-diff
GCF_016863635.1,GCF_017656055.1,size-diff
GCF_016863635.1,GCA_015134435.1,size-diff
GCF_016863635.1,GCA_000331975.1,size-diff
GCF_016863635.1,GCF_004296515.1,size-diff
GCF_016863635.1,GCF_003213775.1,size-diff
GCF_016863635.1,GCF_004296475.1,size-diff
GCF_016863635.1,GCF_004296535.1,size-diff
GCF_016863635.1,GCA_015134315.1,size-diff
GCF_016863635.1,GCA_015134375.1,size-diff
GCF_016863635.1,GCA_002254805.1,size-diff
GCF_016863635.1,GCA_002688505.1,size-diff
GCF_016863635.1,GCA_015134075.1,size-diff
GCF_003044305.1,GCF_002682985.1,size-diff
GCF_003044305.1,GCA_000147015.1,size-diff
GCF_003044305.1,GCF_004296495.1,size-diff
GCF_003044305.1,GCF_017656055.1,size-diff
GCF_003044305.1,GCA_015134435.1,size-diff
GCF_003044305.1,GCA_000331975.1,size-diff
GCF_003044305.1,GCF_004296515.1,size-diff
GCF_003044305.1,GCF_003213775.1,size-diff
GCF_003044305.1,GCF_004296475.1,size-diff
GCF_003044305.1,GCF_004296535.1,size-diff
GCF_003044305.1,GCA_015134315.1,size-diff
GCF_003044305.1,GCA_015134375.1,size-diff
GCF_003044305.1,GCA_002254805.1,size-diff
GCF_003044305.1,GCA_002688505.1,size-diff
GCF_003044305.1,GCA_015134075.1,size-diff
GCF_009725235.1,GCF_002682985.1,size-diff
GCF_009725235.1,GCA_000147015.1,size-diff
GCF_009725235.1,GCF_004296495.1,size-diff
GCF_009725235.1,GCF_017656055.1,size-diff
GCF_009725235.1,GCA_015134435.1,size-diff
GCF_009725235.1,GCA_000331975.1,size-diff
GCF_009725235.1,GCF_004296515.1,size-diff
GCF_009725235.1,GCF_003213775.1,size-diff
GCF_009725235.1,GCF_004296475.1,size-diff
GCF_009725235.1,GCF_004296535.1,size-diff
GCF_009725235.1,GCA_015134315.1,size-diff
GCF_009725235.1,GCA_015134375.1,size-diff
GCF_009725235.1,GCA_002254805.1,size-diff
GCF_009725235.1,GCA_002688505.1,size-diff
GCF_009725235.1,GCA_015134075.1,size-diff
GCF_005889725.1,GCF_002682985.1,size-diff
GCF_005889725.1,GCA_000147015.1,size-diff
GCF_005889725.1,GCF_004296495.1,size-diff
GCF_005889725.1,GCF_017656055.1,size-diff
GCF_005889725.1,GCA_015134435.1,size-diff
GCF_005889725.1,GCA_000331975.1,size-diff
GCF_005889725.1,GCF_004296515.1,size-diff
GCF_005889725.1,GCF_003213775.1,size-diff
GCF_005889725.1,GCF_004296475.1,size-diff
GCF_005889725.1,GCF_004296535.1,size-diff
GCF_005889725.1,GCA_015134315.1,size-diff
GCF_005889725.1,GCA_015134375.1,size-diff
GCF_005889725.1,GCA_002254805.1,size-diff
GCF_005889725.1,GCA_002688505.1,size-diff
GCF_005889725.1,GCA_015134075.1,size-diff
GCF_012933655.1,GCF_002682985.1,size-diff
GCF_012933655.1,GCA_000147015.1,size-diff
GCF_012933655.1,GCF_004296495.1,size-diff
GCF_012933655.1,GCF_017656055.1,size-diff
GCF_012933655.1,GCA_015134435.1,size-diff
GCF_012933655.1,GCA_000331975.1,size-diff
GCF_012933655.1,GCF_004296515.1,size-diff
GCF_012933655.1,GCF_003213775.1,size-diff
GCF_012933655.1,GCF_004296475.1,size-diff
GCF_012933655.1,GCF_004296535.1,size-diff
GCF_012933655.1,GCA_015134315.1,size-diff
GCF_012933655.1,GCA_015134375.1,size-diff
GCF_012933655.1,GCA_002254805.1,size-diff
GCF_012933655.1,GCA_002688505.1,size-diff
GCF_012933655.1,GCA_015134075.1,size-diff
GCF_010894405.1,GCF_002682985.1,size-diff
GCF_010894405.1,GCA_000147015.1,size-diff
GCF_010894405.1,GCF_004296495.1,size-diff
GCF_010894405.1,GCF_017656055.1,size-diff
GCF_010894405.1,GCA_015134435.1,size-diff
GCF_010894405.1,GCA_000331975.1,size-diff
GCF_010894405.1,GCF_004296515.1,size-diff
GCF_010894405.1,GCF_003213775.1,size-diff
GCF_010894405.1,GCF_004296475.1,size-diff
GCF_010894405.1,GCF_004296535.1,size-diff
GCF_010894405.1,GCA_015134315.1,size-diff
GCF_010894405.1,GCA_015134375.1,size-diff
GCF_010894405.1,GCA_002254805.1,size-diff
GCF_010894405.1,GCA_002688505.1,size-diff
GCF_010894405.1,GCA_015134075.1,size-diff
GCF_900323885.1,GCF_002682985.1,size-diff
GCF_900323885.1,GCA_000147015.1,size-diff
GCF_900323885.1,GCF_004296495.1,size-diff
GCF_900323885.1,GCF_017656055.1,size-diff
GCF_900323885.1,GCA_015134435.1,size-diff
GCF_900323885.1,GCA_000331975.1,size-diff
GCF_900323885.1,GCF_004296515.1,size-diff
GCF_900323885.1,GCF_003213775.1,size-diff
GCF_900323885.1,GCF_004296475.1,size-diff
GCF_900323885.1,GCF_004296535.1,size-diff
GCF_900323885.1,GCA_015134315.1,size-diff
GCF_900323885.1,GCA_015134375.1,size-diff
GCF_900323885.1,GCA_002254805.1,size-diff
GCF_900323885.1,GCA_002688505.1,size-diff
GCF_900323885.1,GCA_015134075.1,size-diff
